Plate,Year,Registrarion year
A,Aug-83,1983
B,Aug-84,1984
C,Aug-85,1985
D,Aug-86,1986
E,Aug-87,1987
F,Aug-88,1988
G,Aug-89,1989
H,Aug-90,1990
J,Aug-91,1991
K,Aug-92,1992
L,Aug-93,1993
M,Aug-94,1994
N,Aug-95,1995
P,Aug-96,1996
R,Aug-97,1997
S,Aug-98,1998
T,Mar-99,1999
V,Aug-99,1999
W,Mar-00,2000
X,Aug-00,2000
Y,Mar-01,2001
